,sa2_code,sa2_name,healthcare,break and enter,schools,accommodation,retail,liveability
0,102011028,Avoca Beach - Copacabana,0.058219028559144126,-1.2126532891881379,-0.3680552855980752,0.10783791893930812,-0.24424638898310227,0.6827434820385725
1,102011029,Box Head - MacMasters Beach,-0.18474312174122592,-1.0691518159855284,-0.264886638858036,-0.4560661885903549,-0.31938575020177323,0.461096322974345
2,102011030,Calga - Kulnura,-0.27211587075767957,-1.2126532891881379,6.555760285524729,-0.2563477101015922,0.37866683362927517,0.9995090203748538
3,102011031,Erina - Green Point,0.34237444070601475,-1.0423394013735452,0.44141334819015127,0.2150179943045486,0.5685930171816576,0.9314856901730258
4,102011032,Gosford - Springfield,0.34951835369564466,-0.7362170961544396,-0.17556467731668393,0.2332347594617438,0.33964606421746846,0.8150330638869968
5,102011033,Kariong,-0.2927014993788302,-1.0740720836821085,-0.611767921209212,-0.3295359901506565,-0.5153733200245055,0.3373096140249053
6,102011034,Kincumber - Picketts Valley,-0.021436484262237,-0.8317696317908226,-0.12559080750997087,-0.13785629754002718,-0.2688473142985718,0.5690653265832626
7,102011035,Narara,-0.30753669978548054,-0.4653914597554304,0.3221945737164306,-0.797264054615725,-0.6401146169154913,0.2774132244295034
8,115011555,Castle Hill - North,0.17549369387577476,-0.030291189808379075,-0.36364285412153596,0.14911975403343006,0.03521581937289723,0.5066190140510141
9,102011036,Niagara Park - Lisarow,-0.2517029159991863,-0.9374621377633533,0.3881945010787185,-0.581884880146381,-0.5777306587780848,0.47859763183243426
10,102011037,Point Clare - Koolewong,-0.13225314197650062,-1.2126532891881379,-0.3812134495805411,-0.6611629877698756,-0.4988213258797652,0.3867966242353852
11,102011038,Saratoga - Davistown,-0.2448926902818586,-1.2126532891881379,-0.536956259887646,-0.28268483603581285,-0.38843332218818344,0.4402090163726804
12,102011039,Terrigal - North Avoca,0.2833365059985109,-0.18766406301966754,-0.47598150412403023,0.28451329061321,-0.09661778968804403,0.5456015685183176
13,102011040,Umina - Booker Bay - Patonga,-0.26487130291390404,-0.8932640504308993,-0.9244795035299448,-0.257719930406086,-0.5439144343650609,0.2501671312026815
14,102011041,Wamberal - Forresters Beach,0.09078237292422942,-0.5415623819394041,0.09334604664667459,-0.22747814150895804,-0.3225384455465114,0.5438059519930167
15,102011042,Woy Woy - Blackwall,-0.265802381552764,-0.3537488911493084,-0.15692126781202756,0.08529157849146422,-0.3263602273721253,0.4231041437235296
16,102011043,Wyoming,-0.17239013948183587,-0.25123108765334273,-0.018664295179925752,-0.5077522821584188,-0.5039774878492357,0.2785725848895717
17,102021044,Bateau Bay - Killarney Vale,-0.2821066135220833,-0.7886569478115621,-0.7245710544561949,-0.5677755359547347,-0.598667402081236,0.20029307334396806
18,102021045,Blue Haven - San Remo,-0.3533899397142486,-0.9383173674888926,-0.35388059080129736,-0.6936627498218205,-0.7884602976941176,0.22251389722719556
19,102021046,Budgewoi - Buff Point - Halekulani,-0.34723043501449397,-0.5972973818981852,-0.36650312444838296,-0.5645443885475386,-0.5990351403575385,0.2175475500001069
20,102021047,Chittaway Bay - Tumbi Umbi,-0.23298512737182434,-1.1186808117980231,-0.17631081159675485,-0.5654338688708108,-0.415054826167681,0.43263612838641696
21,102021048,Gorokan - Kanwal - Charmhaven,-0.28274351607402803,-0.18936493707263333,-0.6545307023395591,-0.4698742937624986,-0.4643895180455928,0.15680792991112139
22,102021049,Jilliby - Yarramalong,-0.2154846344165925,-1.2093337699636726,3.5210202890568625,-0.41125068004458193,-0.3367190942915588,0.9773989744116272
23,102021050,Lake Munmorah - Mannering Park,-0.32972505753978565,-1.1153626815496747,-0.4348463766365365,-0.6189703492854984,-0.5749461335785867,0.3008769818190809
24,102021051,Ourimbah - Fountaindale,0.05219874721372184,-1.192479344028342,2.24414513084891,-0.37893257099960526,0.07574899773306891,0.9602902811083824
25,102021052,Summerland Point - Gwandalan,-0.27866332025372087,-1.0872518895939716,,-0.725557520466883,-0.570942273221404,
26,102021053,The Entrance,-0.2176744884809011,-0.46505820738085657,-0.34797046381823415,0.5617630493478611,-0.1410162896611447,0.5793632484789486
27,102021054,Toukley - Norah Head,-0.13347474697625308,-0.33742741685333616,-0.6093770491562659,-0.0874412074775971,-0.2375633699914322,0.32510060287120796
28,102021055,Tuggerah - Kangy Angy,0.054662439692370224,-1.005965674084025,0.8185809375345047,0.9830894982479111,0.9461786163148783,0.97829942797334
29,115011557,Castle Hill - West,0.17803526005455744,0.19429784116049134,-0.44860044360076023,-0.3273698525741171,-0.15604589509724198,0.27923110646283433
30,102021056,Warnervale - Wadalba,-0.22214244755391388,-1.1321382226951513,-0.17143451914894386,-0.689347074504067,-0.5157412410463555,0.3854385707321223
31,102021057,Wyong,-0.2226346819970958,-0.6766681180982235,-0.2905880954191465,0.9689553339668484,-0.27669322965800847,0.7017630370945219
32,115031299,Bilpin - Colo - St Albans,-0.35663158671966955,-1.2121204133761576,2.88813434107553,0.02046505822165827,-0.17457328891923093,0.973130200789805
33,115031300,Kurrajong Heights - Ebenezer,-0.25213104734630815,-1.2057158351137383,-0.1207607391820159,-0.3890345343164535,-0.3059294272041216,0.5344105401709266
34,115011290,Baulkham Hills (East),-0.08079079241639854,-0.24279502182699408,-0.5892136367253697,-0.29203993490794516,-0.25847834188084334,0.27334289340748186
35,115041301,Pitt Town - McGraths Hill,-0.2740544607963385,-1.1561934739401365,0.6734333247504554,-0.07293826887672356,0.15384800983637975,0.8370556847243102
36,115011291,Baulkham Hills (West) - Bella Vista,0.8504537625259486,0.047315588915388875,-0.33736334118021005,0.6905464273278088,0.5337519276052063,0.8442337844840083
37,115041302,Rouse Hill - Beaumont Hills,-0.06473469899976882,-0.7732134107471743,-0.4269292829670242,-0.10844825506597895,0.14593715373069435,0.5790898673160637
38,115011294,Glenhaven,0.17943990601135876,-0.5758877041048253,0.7109911870956819,-0.554283178093844,-0.19511668369329876,0.6719281851677696
39,115011296,West Pennant Hills,0.1975140182229668,-0.91859725023226,0.003464015581289567,-0.22426052976989144,-0.11290059536208195,0.6862001870737967
40,115011553,Castle Hill - Central,0.262528069133053,-0.10348286396677427,0.5463382027096977,0.49133351909428763,1.4920376578053731,0.947634470765003
41,115011554,Castle Hill - East,0.10168698056333193,-1.2126532891881379,1.3470827848120408,-0.6277604324121557,-0.24977263364807656,0.8561765363727195
42,115011556,Castle Hill - South,0.2547443343765015,-0.09716808697409017,0.06072923200445383,0.04893002806737239,-0.02445793659473958,0.6075710794333701
43,116021562,Acacia Gardens,-0.22035631391546415,0.0033799532529472714,0.1266960808663815,-0.7235393945238234,0.0916120409793476,0.32542133456942535
44,115011558,Cherrybrook,-0.026906059371972116,-0.51513706933773,-0.5003921420621101,-0.2364227928797911,-0.16208157291541608,0.3987525579817807
45,115011559,Kellyville,-0.015736385082414362,-0.022721164365090814,-0.6367366914173391,-0.3322579737506977,-0.214016894912687,0.2357673435142596
46,115021297,Dural - Kenthurst - Wisemans Ferry,-0.0311567125036192,-1.2096043452699508,0.6094534748104872,0.01810728170183919,0.5509071659919602,0.913482345281528
47,115021298,Galston - Laughtondale,-0.10607095226577223,-1.2126532891881379,2.478170546680892,-0.37509676444834955,0.3306704878043383,0.9718136597841185
48,116011303,Blacktown (East) - Kings Park,0.1221038875941134,0.5193398405420006,0.26636096294271205,0.35021981808001573,0.5932367844540422,0.6926593572766452
49,116011304,Blacktown (North) - Marayong,-0.2787154621575731,0.9701419460346384,-0.14712982243879308,-0.544936853450944,-0.5096079965784859,0.07939964786024692
50,116011306,Doonside - Woodcroft,-0.24974539069499493,-0.28346872535165485,-0.5052350948416829,-0.6082951549999738,-0.4836148545835427,0.17315619350730646
51,116011307,Lalor Park - Kings Langley,-0.26036652630627466,-0.3346830180265435,-0.24923547951544675,-0.5923203075055644,-0.18262039530700236,0.2789130402047566
52,116011308,Seven Hills - Toongabbie,-0.23352119322762835,-0.0824445346031458,-0.2472877185750721,-0.0532536057699837,-0.2099447833381888,0.3403886451975402
53,116011560,Blacktown (South),-0.29598628606247296,1.5285435133235752,-0.6034049899226094,-0.3031170126592127,-0.5335422414715741,0.036805997394215716
54,116011561,Blacktown (West),-0.31088010289662477,1.4956366045602938,-0.6042001955759899,-0.34061148299263294,-0.5007998741224206,0.0372504865746188
55,116021309,Glenwood,-0.16844171346275333,-0.08822759925853686,-0.33339789037832196,-0.1877327262270114,-0.12391520708396539,0.32623576205905236
56,116021310,Parklea - Kellyville Ridge,-0.13489766295244696,-0.7434497399708668,-0.6846474892552962,-0.31154409831397795,-0.22652095436223152,0.35111072478275024
57,116021312,Riverstone - Marsden Park,-0.2600664823866802,-0.8068321853962885,0.8985613504038716,-0.3794501891181445,-0.10235007337824958,0.7238273714783131
58,116021563,Quakers Hill,-0.27064914965379056,0.7138689991712447,-0.6186642391660145,-0.5310651041098248,-0.46656835807131125,0.06908593206739379
59,116031313,Bidwill - Hebersham - Emerton,-0.34267224740536856,-0.0794978496855313,-0.38834330012744006,-0.7552714024395796,-0.6780927207800511,0.11057493525718756
60,116031314,Glendenning - Dean Park,-0.3035008442739408,-0.09345341821610949,0.3436996734828496,-0.40199301625131,-0.47885976820085935,0.3214315955193813
61,116031315,Hassall Grove - Plumpton,-0.3093843073125862,-0.47064431795726674,-0.3945806190476627,-0.6178980254136011,-0.6173175351442748,0.18716521104205572
62,116031316,Lethbridge Park - Tregear,-0.3649008629171448,-0.2931814056986658,-0.40470453573723186,-0.7750791561822653,-0.7311319004907607,0.1210382202545673
63,116031317,Mount Druitt - Whalan,-0.21937471670478365,-0.019875256184559313,-0.5503659073794653,-0.3760067144825224,-0.3177431991625349,0.19098612573257437
64,116031318,Prospect Reservoir,-0.4230181810685246,-1.2126532891881379,4.153906237038195,1.7718876562533783,2.145920844953294,0.9998582565181582
65,116031319,Rooty Hill - Minchinbury,-0.27021570361395614,-0.4255460798019537,-0.553770872839935,-0.3176380296636662,-0.3244057986856291,0.2610565538911054
66,117011320,Banksmeadow,-0.4230181810685246,-0.8709090659019902,0.6730335231408651,1.2715851208517626,2.8751341782428366,0.9948707006416182
67,117021327,Petersham - Stanmore,0.004718566803745267,1.4702886317199027,0.09435471419686567,0.2459452654799434,-0.10777409172087186,0.22564906772342422
68,117011321,Botany,-0.17803180981744968,-0.8771347316229252,-0.5742837225376106,0.2625195867604222,-0.31737041134196986,0.5174849610109493
69,117011322,Mascot - Eastlakes,-0.23185137537466075,0.28106553292992353,-0.5218964320173667,0.2770794972438363,0.05306672478933245,0.3307782811016025
70,117021328,Sydenham - Tempe - St Peters,-0.2719241440308338,0.8781325306471247,2.4491973126368634,0.08457138170512052,0.4449516700958215,0.8616024572845435
71,117011323,Pagewood - Hillsdale - Daceyville,-0.14623816238748757,1.3710128124128873,-0.09909183952628599,0.033484199048797,-0.18135292901072161,0.14626365787828782
72,117011324,Port Botany Industrial,-0.4230181810685246,-1.2126532891881379,0.6730335231408651,-0.22932248535308516,0.3958088450583911,0.8360538481257025
73,117011325,Sydney Airport,-0.4230181810685246,-1.2126532891881379,1.9388054191035307,-0.979776288455509,-0.916775154862786,0.6967542184545815
74,117021326,Marrickville,-0.09515689535400759,0.3715978399528549,-0.010503765867267962,0.38518474424563615,0.3130924943801095,0.555030848415631
75,117031329,Darlinghurst,0.950062370326032,2.817328274453119,1.9388054191035307,2.9496177184445673,0.8454610299838616,0.9795000183160298
76,117031330,Erskineville - Alexandria,-0.04044783060253819,0.38609263761009976,-0.10149297447749772,0.9712407809201113,1.2190645936342477,0.8405427471784678
77,118021564,Kensington (NSW),-0.008231349137586665,1.836956683964204,-0.48214596781478336,-0.1352412860895132,-0.47811020696287077,0.05017859199128182
78,117031331,Glebe - Forest Lodge,0.08729340517822963,0.2876035541015455,-0.4130414822357581,0.42205324988266074,-0.13325582676361075,0.4195662551849263
79,118021565,Kingsford,0.01748797884747843,1.6449433229332344,-0.83031766997157,0.385224697812245,-0.19015688681626647,0.09425916030412596
80,117031332,Newtown - Camperdown - Darlington,0.3753622388383619,0.19061023305339703,0.024829515662824247,0.8519324477143416,-0.04543827574085502,0.7342074875861734
81,118021568,Maroubra - West,-0.007913350961923395,2.7248366790796092,-0.03499440194193028,0.31657994928847255,-0.3068321903874889,0.05963661366474601
82,117031333,Potts Point - Woolloomooloo,-0.019032792819198157,1.1540735985400463,0.9582471353091262,1.1215405892025858,-0.05920140829185905,0.7000382321471662
83,117031334,Pyrmont - Ultimo,-0.0008790508941561377,1.8748463883944575,-0.5511455130077519,1.4196317105017073,0.39128513655058655,0.3507021853595887
84,118021569,Randwick - North,0.04994025303280795,2.3555335282164847,-0.4065312043475689,-0.28568287086170224,-0.3987989802730996,0.03240169374801628
85,117031335,Redfern - Chippendale,-0.11551291811492168,-0.14835014342998418,0.8989928031468386,0.4209454313822048,-0.15723742029070364,0.7677300746817199
86,117031336,Surry Hills,0.27121125015863545,-0.3382252526530945,1.2858278537259649,2.8284388697443466,1.0370515353062726,0.9968611492488136
87,117031337,Sydney - Haymarket - The Rocks,1.9661049740680254,-0.40832776585367253,-0.016442150414648672,12.61277082782509,7.083172474453644,0.9999999997356994
88,117031338,Waterloo - Beaconsfield,-0.17584630517523417,1.037529478010923,-0.6188305068229484,0.5437266469998586,0.3559692534729925,0.282415688552016
89,118011339,Bondi - Tamarama - Bronte,0.09552616723756678,1.5540744293426423,-0.5465621448574972,0.07945606123771994,-0.08379882141535162,0.11821396745301078
90,118011340,Bondi Beach - North Bondi,-0.012209761556377242,0.6586689092182529,-0.8370646769049672,0.5340478314631772,0.1880454293366172,0.31306043006916184
91,120031394,Dulwich Hill - Lewisham,-0.16120567881325726,1.3438252434474804,0.4249040859867813,-0.25324222230034743,-0.3384223100956106,0.15818548901551333
92,118011341,Bondi Junction - Waverly,1.1259854374933103,1.5243612165455496,-0.19241781623283635,1.4242109953351538,0.7077691281017956,0.823637145301411
93,118011342,Centennial Park,-0.4230181810685246,0.5326672414315899,1.6223624451128642,-0.979776288455509,-0.916775154862786,0.2262034057999492
94,118011343,Double Bay - Bellevue Hill,0.7557893708720044,0.49665504154226453,-0.6018455429780468,0.5762018289770409,0.5951633346856754,0.6960702394308423
95,118011344,Dover Heights,0.27598686368505493,1.8643236348822472,-0.7867297660310577,-0.029534055973807292,0.12828582524654755,0.09310365077006076
96,118011345,Paddington - Moore Park,0.28234087845328104,0.023424098510902307,0.22705956897804389,0.43189563109038437,0.7467961163746895,0.8408636446317144
97,118011346,Rose Bay - Vaucluse - Watsons Bay,0.3278351146978605,0.5802978874552003,-0.8630428553311579,0.27795653681369575,0.26334855208705954,0.3602681384077041
98,118011347,Woollahra,0.6695992138683191,4.181007315082371,-0.15147980623875307,-0.03935798882841144,0.6396345790561994,0.04467611899448331
99,118021348,Coogee - Clovelly,0.07973056959320575,1.1882165977546741,-0.8260751112189584,0.003543996422707521,-0.3224435405837399,0.09505137118869089
100,118021350,Malabar - La Perouse - Chifley,-0.15240408587494692,-0.23924260769344746,-0.7290268027707012,-0.21288219318573942,-0.45848434566759527,0.2118926021124703
101,118021566,Maroubra - North,0.4110663742212822,2.600609963775857,-0.3722949527384149,-0.14090550475058627,-0.12027884371008037,0.05609266781569181
102,118021567,Maroubra - South,-0.11094133759687841,2.131938673895827,-0.024955363840233898,-0.02905112395712276,-0.3109235256492715,0.06863746869027765
103,118021570,Randwick - South,0.846845745347849,1.1765062527270367,-0.2523279763489497,0.6014580206520002,-0.20999442727494425,0.4525123396993399
104,121021579,Waitara - Wahroonga (West),-0.10674616077156435,0.4221955494636605,-0.17866659047834776,-0.06523442077889723,-0.4256751613062341,0.23173898183789662
105,119011354,Bass Hill - Georges Hall,-0.19427774267527476,0.4656883483923631,-0.5156864491519223,-0.1802948247835824,-0.20500952765609745,0.1735093820290228
106,119011355,Chullora,0.12362800439833331,-1.2126532891881379,1.6223624451128642,1.8790953424108676,6.583704844686799,0.9999890421546038
107,119011356,Condell Park,-0.20810112016789215,-0.7523801605965383,0.08055196149185741,0.1292687407598958,1.2624830825542386,0.8825272034001748
108,121031407,Gordon - Killara,0.46596357965031554,-0.6209005942442248,-0.23002629036387812,0.021488957234991262,0.09036355924724902,0.7248583897919071
109,121031408,Lindfield - Roseville,0.41739295588652225,-0.631124703248695,-0.6728050330046187,0.12041661395886065,-0.09716740120618964,0.5984382052131759
110,121031409,Pymble,0.46094108909904374,-0.2020719436497158,-0.12410168846277446,-0.3114276612709144,-0.24757781119229894,0.49497663697983174
111,121031410,St Ives,0.17947210548097467,-0.43565499878129027,-0.48042640055597935,-0.27242526239283943,0.06765951928527879,0.48249090240383513
112,121031411,Turramurra,0.11692678496516537,-0.7665478306529802,0.14865596654303875,-0.3530192537270866,-0.16402938087177665,0.6259970439168185
113,121031412,Wahroonga (East) - Warrawee,0.5291387090342912,-0.6944134449795097,-0.34038660915449537,-0.1280615928736763,-0.3348631476625337,0.6035408707881116
114,121041413,Cremorne - Cammeray,0.20925683330697378,1.9857270033784946,-0.4878039151254137,-0.1991208792078149,-0.4118585694955387,0.053390514753708554
115,121041414,Crows Nest - Waverton,0.4013806838040563,1.1197060258761564,-0.48205237789119465,0.8174546109300443,0.14611914393108946,0.44107411296342863
116,121041415,Mosman,0.34230931566069694,-0.14809176665621995,-0.9984251723319483,0.12051157866769022,-0.08379882141535162,0.3843059157295805
117,121041416,Neutral Bay - Kirribilli,0.19509787560893013,2.4323659232714285,-0.4712906521722241,0.635363372825417,0.12360210794031079,0.12459772028113604
118,119011357,Greenacre - Mount Lewis,-0.11408998828521258,0.2712078915633383,-0.8962249724436608,-0.17277821591049278,0.05064575272012207,0.19723670871906254
119,122021422,Newport - Bilgola,0.01821089742504619,-0.41853309995736837,-0.7824268782391747,0.06139870448649762,0.2868062348508478,0.5006305142859329
120,122021423,Warriewood - Mona Vale,0.10340151024719794,-0.7191581862982704,-0.9390344575663033,0.2632964899614653,0.3101361935525344,0.6122922631617292
121,119011358,Padstow,-0.17904542250227576,0.20210090699226316,-0.1246795802789459,-0.36954493320000953,0.015018614804980852,0.29726576034978064
122,119011359,Panania - Milperra - Picnic Point,-0.20554545105258265,-0.33278700283759394,-0.4726105249126896,-0.4864180036289983,-0.4554709958212861,0.216317289014136
123,119011360,Revesby,-0.14121552933911483,0.8216861522753044,-0.09493241754920373,-0.34948773160945584,-0.31002317239990623,0.15221346018688006
124,119011361,Yagoona - Birrong,-0.2278475530913786,0.23667390540555938,-0.45718582155430765,-0.5902396436892056,-0.22209541993457804,0.15007124967437355
125,119011571,Bankstown - North,0.1394163450236346,0.887428932396061,-0.3548032662140851,-0.15643512556452543,0.11064171384404194,0.24074319809421948
126,119021574,Wiley Park,-0.2519237370472279,2.0920106519436534,0.1952229004506608,0.08614479784893102,-0.18954517606088475,0.09516745522142529
127,119011572,Bankstown - South,0.007813432646267283,0.08855066642627173,0.020759384192926958,0.18570791467989012,0.4164174219227665,0.63231183638782
128,119031368,Hurstville,0.09488854866965107,1.3171608748067658,-0.3028707030231963,0.6333505252471607,0.5619341916415312,0.41827509836439236
129,119031369,Mortdale - Penshurst,-0.10891038538180059,0.10473593830893858,-0.2745050566869152,-0.16563046779798762,-0.297399670346167,0.27864727114622595
130,119021362,Belmore - Belfield,-0.18407327847926108,2.102791902975705,-0.1942355280040576,-0.022770892074418292,0.13391231298621004,0.0854923223402861
131,119021363,Canterbury (South) - Campsie,-0.10297576717188509,1.4375900790103764,-0.3899474528700354,-0.052361007223595775,0.10700872084684648,0.1328644830962895
132,119021364,Kingsgrove (North) - Earlwood,-0.13567121604809262,0.6119006850158596,0.017156136695801967,0.04222127503595167,-0.05482769811658887,0.32234362839878244
133,119031370,Narwee - Beverly Hills,-0.1517510969413219,1.1636124429369965,0.21581042254943167,0.1520523033216437,-0.2369025742953092,0.23426137919957857
134,119031371,Oatley - Hurstville Grove,-0.0005485778549802003,0.37328034964820456,-0.05361330602288734,-0.3264448677012162,-0.17673326748589008,0.2827988720952719
135,119021366,Punchbowl,-0.19544245389880463,1.6399644001693492,-0.4389419740270826,-0.17007763303005358,0.0007670379246031208,0.07990346148176923
136,119031372,Peakhurst - Lugarno,-0.16794456448485487,0.02661792499577909,-0.47316588718935665,-0.28538477386153105,0.007488327335241334,0.2797655560082761
137,119021367,Roselands,-0.308084561777335,0.9972914383462461,-0.10263277812396217,-0.2101339012912862,0.13362654192517162,0.18474625224996072
138,119021573,Lakemba,-0.16675910385562792,2.4723734514425755,-0.3950653339509904,0.292040237685708,0.06390754789922763,0.06426903238112468
139,119031373,Riverwood,-0.2150061144184785,0.4476028205651974,0.38635007648474406,-0.04163085579142384,-0.2725830277797663,0.3565263926759125
140,119031374,South Hurstville - Blakehurst,0.04373441864407389,-0.29161353235515025,-0.5729402905714391,0.0037933561039530184,-0.08528902796478957,0.4208980225181717
141,119041378,Kogarah,0.8865287963327286,2.9360048800950307,-0.21744280271259914,0.30924136778127354,0.33575878911565343,0.16494042388940444
142,119041375,Arncliffe - Bardwell Valley,-0.26882608754833387,-0.059850073133646056,-0.10029368783490285,-0.08469074085884161,-0.17211151696006458,0.36214369270374935
143,119041376,Bexley,-0.21362026685801722,0.9683635498257148,-0.4033176014755073,-0.3854452623578447,-0.16687491850119943,0.10549361615250978
144,119041377,Kingsgrove (South) - Bardwell Park,-0.07032059899943098,0.6110594207398774,0.4502418965929193,0.17222390447697958,-0.10431136526588021,0.4592839622966562
145,119041379,Kogarah Bay - Carlton - Allawah,-0.1679138903129969,1.087372249893048,-0.05916786059530559,-0.13821208737269886,-0.3314419002598359,0.1437966215761855
146,119041380,Monterey - Brighton-le-Sands - Kyeemagh,-0.09695226238668163,0.8307747423419034,-0.4974517968272408,0.34333231815695947,-0.08679211616954635,0.23710115195118706
147,119041381,Rockdale - Banksia,-0.21843365789815788,1.0406127821382374,-0.3268707153558494,0.3791155994321319,0.19104364628604534,0.26585453152734745
148,119041382,Sans Souci - Ramsgate,-0.09892281228429084,0.7842623647981679,-0.6165781789459254,0.264174905282786,-0.12327091340806796,0.20442574803593788
149,120011383,Concord - Mortlake - Cabarita,0.23142604019981047,0.062457400624357,-0.6073301160538828,0.2780826154108798,-0.012726373724421659,0.4568562482831724
150,120011384,Concord West - North Strathfield,0.027043367342505856,0.8175002686508943,-0.6602110260014661,0.9349802599227164,0.07431458196565698,0.39141383916253486
151,120011385,Drummoyne - Rodd Point,0.32439521435372043,0.9623350961232553,-0.5408475076470867,0.3493741151133956,0.21927037855708467,0.35202660215696946
152,120011386,Five Dock - Abbotsford,0.18035859418726188,0.7805021019979254,-0.5380037775813463,0.34639906584989916,0.17240574125473135,0.3499310092409887
153,120021387,Balmain,0.43978708355094537,0.57095634442756,-0.6746499029435863,0.5184908074219506,-0.14704276249168582,0.39308303322421967
154,120021388,Leichhardt - Annandale,0.23071517012010748,1.6185672774648243,-0.3499071536468043,0.4382349114540073,0.2693968047871287,0.26305937770355314
155,120021389,Lilyfield - Rozelle,0.17160451155615955,1.0231688676594766,-0.13546687830475243,0.2749423193362943,0.16125933996863948,0.3656719626502517
